id	title	description	availability	condition	price	link	image_link	brand
41021	PHILIPS	PHILIPS 24M1N3200ZA/94 23.8" Gaming Monitor with IPS Display, 165 HZ Refresh Rate, Built in Speaker, Display/HDMI Port,1 ms MPRT, Flicker Free, Xbox Ultimate Game Pass(1 Month Free Subscription)	in stock	new	14,499.00	https://www.amazon.in/PHILIPS-24M1N3200ZA-94-Ultimate-Subscription/dp/B0BKFJHJ7H/ref=sr_1_13?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671439733&refinements=p_89%3APHILIPS&rnid=3837712031&s=computers&sprefix=electronic+%2Caps%2C217&sr=1-13	https://m.media-amazon.com/images/I/61Tb1tW-TXL._SL1181_.jpg	PHILIPS
41022	PHILIPS 6 in 1 USB Type	PHILIPS 6 in 1 USB Type C to ethernet + HDMI 4K 30Hz + USB A + PD (max 60W) + Micro SD Card Slot Dock Adapter for MacBook, Windows OS, iPad, Chromebook, Surface, Android Type C Port Devices	in stock	new	7,500.00	https://www.amazon.in/PHILIPS-ethernet-Adapter-MacBook-Chromebook/dp/B0828Q41MJ/ref=sr_1_16?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671439733&refinements=p_89%3APHILIPS&rnid=3837712031&s=computers&sprefix=electronic+%2Caps%2C217&sr=1-16	https://m.media-amazon.com/images/I/519EHexjg9L._SL1200_.jpg	PHILIPS
41023	boAt Xtend	boAt Xtend/Xtend RTL Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, 5 ATM & 7 Days Battery(Sandy Cream)	in stock	new	2,799.00	https://www.amazon.in/boAt-Smartwatch-Multiple-Monitoring-Resistance/dp/B096VFND31/ref=sr_1_6?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671440254&rnid=976392031&s=computers&sprefix=electronic+%2Caps%2C217&sr=1-6	https://m.media-amazon.com/images/I/61gscZYmaoL._SL1377_.jpg	boAt 
41024	ZEBRONICS Zeb-Thunder	ZEBRONICS Zeb-Thunder Bluetooth Wireless Over Ear Headphone FM, mSD, 9 hrs Playback with Mic (Black)	in stock	new	599	https://www.amazon.in/Zebronics-Zeb-Thunder-Bluetooth-Headphone-Input/dp/B07L8KNP5F/ref=sr_1_4?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671440384&rnid=3837712031&s=computers&sprefix=electronic%2B%2Caps%2C217&sr=1-4&th=1	https://m.media-amazon.com/images/I/71O7+VmlvVL._SL1500_.jpg	ZEBRONICS 
41025	Dell Inspiron	Dell Inspiron 3520 Laptop, Intel Core i3-1215, 8GB, 512GB SSD, 15.6" (39.62Cms) FHD WVA AG 120Hz 250 nits, Win 11 + MSO'21. Silver (D560915WIN9S. 1.65Kgs)	in stock	new	38,827.00	https://www.amazon.in/Dell-Inspiron-i3-1215-39-62Cms-D560915WIN9S/dp/B0BH4T1D8X/ref=sr_1_1?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671440516&rnid=976392031&s=computers&sprefix=electronic+%2Caps%2C217&sr=1-1	https://m.media-amazon.com/images/I/61ROfd-wXfL._SL1280_.jpg	Dell 
41026	MSI Gaming	MSI Gaming GF63 Thin, Intel 11th Gen. i7-11800H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX1650 Max-Q 4GB GDDR6/ Black/1.86Kg), 11SC-852IN	in stock	new	59,990.00	https://www.amazon.in/MSI-i7-11800H-Windows-GTX1650-11SC-852IN/dp/B09YY3FVTB/ref=sr_1_24?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671440516&rnid=976392031&s=computers&sprefix=electronic+%2Caps%2C217&sr=1-24	https://m.media-amazon.com/images/I/719sMfG+11L._SL1500_.jpg	MSI 
41027	Samsung Electronics	Samsung Electronics (MZ-V8V500B/AM) 980 SSD 500GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology	in stock	new	7,537.00	https://www.amazon.in/Samsung-Electronics-MZ-V8V500B-AM-500GB/dp/B08V7GT6F3/ref=sr_1_2?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671440749&refinements=p_89%3ASamsung&rnid=3837712031&s=computers&sprefix=electronic%2B%2Caps%2C217&sr=1-2&th=1	https://m.media-amazon.com/images/I/71SvgLer5wL._SL1500_.jpg	Samsung
41028	Samsung Galaxy	Samsung Galaxy Tab S6 Lite 26.31 cm (10.4 inch), S-Pen in Box, Slim and Light, Dolby Atmos Sound, 4 GB RAM, 64 GB ROM, Wi-Fi Tablet, Gray	in stock	new	24,999.00	https://www.amazon.in/Samsung-Galaxy-26-31-S-Pen-Tablet/dp/B0B3JK8YQW/ref=sr_1_7?crid=2BLE9KDMA32H0&keywords=electronic&qid=1671440749&refinements=p_89%3ASamsung&rnid=3837712031&s=computers&sprefix=electronic%2B%2Caps%2C217&sr=1-7&th=1	https://m.media-amazon.com/images/I/61rq3n8ZrUL._SL1500_.jpg	Samsung
41029	MI Power Bank	MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black	in stock	new	1,949.00	https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sr_1_3?keywords=power%2Bbank&qid=1671440985&sr=8-3&th=1	https://m.media-amazon.com/images/I/71lVwl3q-kL._SL1500_.jpg	MI
41030	Zinq	Zinq Cool Slate Dual Fan Cooling Pad for Notebook/Laptop with Dual USB Port(Black)	in stock	new	799	https://www.amazon.in/Zinq-Technologies-Cooling-Notebook-Laptop/dp/B07TYPTCNV/ref=sr_1_4?crid=1DSOL16ISGTRM&keywords=laptop+fan&qid=1671441126&sprefix=laptop+fan%2Caps%2C228&sr=8-4	https://m.media-amazon.com/images/I/81ejONjw7+L._SL1500_.jpg	Zinq
41031	Fire-Boltt	Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating	in stock	new	1,799.00	https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RRWSF6/ref=sr_1_3?crid=TF7R9LAPU4XL&keywords=smart+watch+for+men&qid=1671441446&sprefix=sma%2Caps%2C899&sr=8-3	https://m.media-amazon.com/images/I/61y2VVWcGBL._SL1500_.jpg	Fire-Boltt
